Medicine,Indication
Acamprosate,Alcohol use disorder
Acetylsalicylic acid + atorvastatin + ramipril,Prevention of atherosclerotic cardiovascular diseases
Acetylsalicylic acid + simvastatin + ramipril + atenolol + hydrochlorothiazide,Prevention of atherosclerotic cardiovascular diseases
Ansuvimab,Ebola virus disease
Atoltivimab + maftivimab + odesivimab,Ebola virus disease
Atorvastatin + perindopril + amlodipine,Prevention of atherosclerotic cardiovascular diseases
Cabergoline,Hyperprolactinaemia
Ceftolozane + tazobactam,Multidrug resistant bacterial infections
Cladribine,Multiple sclerosis
Cryoprecipitate pathogen-reduced,Bleeding disorders
Deferasirox,Iron overload
Glatiramer acetate,Multiple sclerosis
Letrozole,Infertility
Levetiracetam,Partial and generalized-onset seizures and status epilepticus
Naltrexone,Alcohol use disorder
Octreotide,Gigantism and acromegaly
Olanzapine,Schizophrenia and related psychoses
Pegfilgrastim,Febrile neutropenia prophylaxis
Pegylated liposomal doxorubicin,Kaposi sarcoma
Pretomanid,Multidrug-resistant tuberculosis
Quetiapine,Bipolar disorder
Resin-based composites,Dental caries
Ravidasvir,Hepatitis C virus infection
Sevoflurane,General anaesthesia
Triamcinolone hexacetonide,Juvenile idiopathic arthritis
